closedday,company_name,ticker,market,price,industry,sector,prevclose,daysrange,revenue,open,wk52range,eps,volume,marketcap,dividend_yield,averagevol_3m,pe,beta,year1change,shares,nextearningsdate,crawling_YYYYMMDD,detailedmarketcap
20200828,Barrick Gold Corp,GOLD,NYSE,29.2,Gold & Silver,Basic Materials,28.5,29.05 - 29.55,11.34B,29.21,12.65 - 31.15,2.5,19533837,51.92B,0.32 (1.12%),18429214,10.79,0.25,51.45%,1778068071 ,Oct 21 2020,20200829,51919587673 
20200828,Petroleo Brasileiro Petrobras SA ADR,PBR,NYSE,8.5,Oil & Gas Operations,Energy,8.18,8.21 - 8.54,6.27B,8.26,4.01 - 16.84,-1.23,19391162,55.35B,0.18 (2.20%),21386203,N/A,1.96,-36.57%,13044201261 ,Oct 28 2020,20200829,110876000000 
20200828,Marathon Oil Corporation,MRO,NYSE,5.39,Oil & Gas - Integrated,Energy,5.36,5.28 - 5.44,4.04B,5.36,3.02 - 14.39,-0.83,18881423,4.26B,0.15 (3.62%),29748884,N/A,3.37,-55.82%,789439221 ,Nov 04 2020,20200829,4255077401 
20200828,Raytheon Technologies Corp,RTX,NYSE,62.24,Aerospace & Defense,Capital Goods,60.9,60.63 - 62.53,64.47B,61.12,43.43 - 99.7,0.41,18550071,95.08B,1.90 (3.12%),9507559,156.03,1.36,-23.63%,1527655238 ,Oct 22 2020,20200829,95081262013 
20200828,Marvell Technology Group Ltd,MRVL,NASDAQ,38.25,Semiconductors,Technology,35.91,36 - 38.38,2.8B,36.75,16.45 - 39.39,2.14,17859805,25.45B,0.24 (0.67%),8520801,15.67,1.01,58.06%,665300000 ,Dec 08 2020,20200829,25447725000 
20200828,Sirius XM Holding Inc,SIRI,NASDAQ,5.96,Broadcasting & Cable TV,Services,5.9,5.9 - 5.98,7.9B,5.92,4.11 - 7.4,0.23,17721150,25.87B,0.05 (0.91%),26153726,26.26,1.18,-4.03%,4340289704 ,Oct 22 2020,20200829,25868126636 
20200828,Abbott Laboratories,ABT,NYSE,110.79,Medical Equipment & Supplies,Healthcare,111.29,109.41 - 114.2,31.44B,113.54,61.61 - 114.18,1.73,17203952,196.16B,1.44 (1.29%),5687738,57.84,0.93,30.62%,1770529999 ,Oct 14 2020,20200829,196157000000 
20200828,Citigroup Inc,C,NYSE,52.28,Regional Banks,Financial,51.72,51.53 - 52.37,49.66B,52.07,32.02 - 83.11,5.8,16990331,108.84B,2.04 (3.94%),24169100,9.13,1.8,-18.18%,2081864894 ,Oct 13 2020,20200829,108840000000 
20200828,Cisco Systems Inc,CSCO,NASDAQ,42.2,Communications Equipment,Technology,42.29,42 - 42.3,49.3B,42.14,32.4 - 50.3,2.64,16573581,178.18B,1.44 (3.41%),22513378,16.13,0.89,-10.73%,4222296202 ,Nov 12 2020,20200829,178181000000 
20200828,Coca-Cola Company,KO,NYSE,49.83,Beverages (Nonalcoholic),Consumer/Non-Cyclical,48.23,48.53 - 49.85,34.33B,48.75,36.27 - 60.13,2.13,16420259,214.04B,1.64 (3.40%),16177922,22.79,0.55,-9.48%,4295438919 ,Oct 21 2020,20200829,214042000000 
20200828,Freeport-McMoran Copper & Gold Inc,FCX,NYSE,15.65,Gold & Silver,Basic Materials,14.9,15.17 - 15.7,12.92B,15.24,4.83 - 15.7,-0.44,16416825,22.73B,0.1 (3.48%),20653822,N/A,2.34,71.60%,1452218624 ,Oct 21 2020,20200829,22727221466 
20200828,Vale SA ADR,VALE,NYSE,11.3,Metal Mining,Basic Materials,10.93,11.08 - 11.38,3.37B,11.11,6.49 - 13.67,0.23,16052301,58.17B,0.19 (2.3%),27977968,49.69,1.07,5.41%,5129910954 ,Oct 28 2020,20200829,57967993780 
